,Name,Type,Campus setting,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Net Price **
1,Adrian College,"4-year, Private not-for-profit",Town: Distant,1828,1779,50,4,24520
2,Albion College,"4-year, Private not-for-profit",Town: Fringe,1475,1475,70,24,18532
3,Allen College,"4-year, Private not-for-profit",City: Small,656,339,100,NA,NA
4,Alma College,"4-year, Private not-for-profit",Town: Distant,1442,1442,67,NA,23180
5,Alverno College,"4-year, Private not-for-profit",City: Large,1744,1105,49,NA,18384
6,American Academy of Art,"4-year, Private not-for-profit",City: Large,205,205,53,27,25418
7,American Islamic College,"4-year, Private not-for-profit",City: Large,16,6,50,NA,NA
8,Anderson University,"4-year, Private not-for-profit",City: Small,1567,1311,60,33,22914
9,Andrews University,"4-year, Private not-for-profit",Town: Fringe,3390,1693,59,21,22291
10,Antioch College,"4-year, Private not-for-profit",Town: Fringe,95,95,78,12,22501
11,Aquinas College,"4-year, Private not-for-profit",City: Midsize,1600,1456,60,29,19613
12,Art Academy of Cincinnati,"4-year, Private not-for-profit",City: Large,219,212,48,NA,23858
13,Ashland University,"4-year, Private not-for-profit",Town: Fringe,5091,3653,65,24,19758
14,Augsburg University,"4-year, Private not-for-profit",City: Large,3425,2512,57,NA,25311
15,Augustana College,"4-year, Private not-for-profit",City: Small,2546,2546,71,NA,24706
16,Augustana University,"4-year, Private not-for-profit",City: Midsize,2113,1818,71,20,24481
17,Aultman College of Nursing and Health Sciences,"4-year, primarily associate's, Private not-for-profit",City: Small,305,305,100,NA,16456
18,Aurora University,"4-year, Private not-for-profit",Suburb: Large,6246,4104,54,NA,17906
19,Avila University,"4-year, Private not-for-profit",City: Large,1526,1153,55,8,17048
20,Baker College,"4-year, Private not-for-profit",Town: Distant,7606,7240,18,NA,14487
21,Baker University,"4-year, Private not-for-profit",Town: Fringe,2595,1672,64,21,23629
22,Baldwin Wallace University,"4-year, Private not-for-profit",Suburb: Large,3504,2964,65,NA,23832
23,Ball State University,"4-year, Public",City: Small,22443,16702,67,24,13533
24,Baptist Bible College,"4-year, Private not-for-profit",City: Midsize,228,215,33,18,18049
25,Barnes-Jewish College Goldfarb School of Nursing,"4-year, Private not-for-profit",City: Large,663,569,NA,NA,NA
26,Bellevue University,"4-year, Private not-for-profit",Suburb: Large,11637,8204,24,33,13261
27,Beloit College,"4-year, Private not-for-profit",City: Small,1143,1143,75,NA,24493
28,Bemidji State University,"4-year, Public",Town: Remote,4897,4490,48,35,14945
29,Benedictine College,"4-year, Private not-for-profit",Town: Distant,2158,2085,65,NA,24320
30,Benedictine University,"4-year, Private not-for-profit",Suburb: Large,4401,2493,46,1,25604
31,Bethany College,"4-year, Private not-for-profit",Town: Remote,816,816,34,65,19780
32,Bethany Global University,"4-year, Private not-for-profit",City: Small,352,323,50,NA,20224
33,Bethany Lutheran College,"4-year, Private not-for-profit",City: Small,741,741,54,34,17580
34,Bethel College-North Newton,"4-year, Private not-for-profit",Town: Distant,456,456,44,NA,21785
35,Bethel University,"4-year, Private not-for-profit",City: Small,1450,1273,67,NA,18348
36,Bethel University,"4-year, Private not-for-profit",Suburb: Large,4005,2799,73,NA,26468
37,Bethlehem College & Seminary,"4-year, Private not-for-profit",City: Large,192,126,77,15,5500
38,Bismarck State College,"4-year, primarily associate's, Public",City: Small,3739,3739,52,14,9016
39,Black Hills State University,"4-year, Public",Town: Distant,3858,3684,38,NA,15861
40,Blackburn College,"4-year, Private not-for-profit",Town: Distant,485,485,41,NA,16175
41,Blessing Rieman College of Nursing and Health Sciences,"4-year, Private not-for-profit",Town: Remote,182,165,NA,NA,NA
42,Bluffton University,"4-year, Private not-for-profit",Town: Distant,768,710,54,NA,26002
43,Bowling Green State University-Main Campus,"4-year, Public",Town: Fringe,17733,15103,61,23,17427
44,Bradley University,"4-year, Private not-for-profit",City: Midsize,5929,4636,77,NA,26791
45,Briar Cliff University,"4-year, Private not-for-profit",City: Small,1129,872,40,NA,20437
46,Bryan College of Health Sciences,"4-year, Private not-for-profit",City: Large,775,659,56,39,24691
47,Buena Vista University,"4-year, Private not-for-profit",Town: Remote,1815,1478,60,NA,18449
48,Butler University,"4-year, Private not-for-profit",City: Large,5515,4685,82,15,39923
49,Calumet College of Saint Joseph,"4-year, Private not-for-profit",Suburb: Large,718,549,44,10,11716
50,Calvary University,"4-year, Private not-for-profit",City: Large,430,348,36,3,15887
51,Calvin University,"4-year, Private not-for-profit",City: Midsize,3570,3467,76,NA,27952
52,Capital University,"4-year, Private not-for-profit",Suburb: Large,3226,2504,62,NA,21946
53,Cardinal Stritch University,"4-year, Private not-for-profit",Suburb: Large,1896,1248,50,37,18107
54,Carleton College,"4-year, Private not-for-profit",Town: Distant,2115,2115,92,NA,31547
55,Carroll University,"4-year, Private not-for-profit",City: Small,3449,2960,67,NA,23866
56,Carthage College,"4-year, Private not-for-profit",Suburb: Midsize,2742,2638,66,NA,28165
57,Case Western Reserve University,"4-year, Private not-for-profit",City: Large,11874,5383,84,NA,35890
58,Cedarville University,"4-year, Private not-for-profit",Town: Fringe,4302,3879,75,NA,23827
59,Central Christian College of Kansas,"4-year, Private not-for-profit",Town: Remote,677,677,32,NA,15215
60,Central Christian College of the Bible,"4-year, Private not-for-profit",Town: Distant,204,204,39,31,13831
61,Central College,"4-year, Private not-for-profit",Town: Distant,1173,1173,67,NA,23343
62,Central Methodist University-College of Graduate and Extended Studies,"4-year, Private not-for-profit",Town: Distant,3821,3502,NA,NA,15196
63,Central Methodist University-College of Liberal Arts and Sciences,"4-year, Private not-for-profit",Town: Distant,1145,1145,47,27,21215
64,Central Michigan University,"4-year, Public",Town: Distant,19362,14627,61,NA,15266
65,Chadron State College,"4-year, Public",Town: Remote,2407,1923,45,38,14203
66,Chicago State University,"4-year, Public",City: Large,3039,2108,17,48,9820
67,Cincinnati College of Mortuary Science,"4-year, primarily associate's, Private not-for-profit",Suburb: Large,92,92,NA,NA,NA
68,City Vision University,"4-year, Private not-for-profit",City: Large,83,70,100,NA,3452
69,Clark State Community College,"4-year, primarily associate's, Public",City: Small,5669,5669,15,19,6414
70,Clarke University,"4-year, Private not-for-profit",City: Small,904,685,63,36,34424
71,Clarkson College,"4-year, Private not-for-profit",City: Large,1108,595,38,48,20153
72,Cleary University,"4-year, Private not-for-profit",Suburb: Midsize,610,462,44,NA,16137
73,Cleveland Institute of Art,"4-year, Private not-for-profit",City: Large,645,645,60,NA,34369
74,Cleveland Institute of Music,"4-year, Private not-for-profit",City: Large,373,230,85,5,34600
75,Cleveland State University,"4-year, Public",City: Large,15433,11564,46,NA,16219
76,Cleveland University-Kansas City,"4-year, Private not-for-profit",City: Midsize,590,74,NA,NA,35246
77,Coe College,"4-year, Private not-for-profit",City: Midsize,1430,1430,66,NA,21081
78,College for Creative Studies,"4-year, Private not-for-profit",City: Large,1533,1480,70,10,38539
79,College of Saint Benedict,"4-year, Private not-for-profit",Suburb: Midsize,1748,1748,80,NA,28177
80,College of Saint Mary,"4-year, Private not-for-profit",City: Large,1050,808,57,33,14299
81,College of the Ozarks,"4-year, Private not-for-profit",Town: Distant,1546,1546,71,17,11316
82,Columbia College,"4-year, Private not-for-profit",City: Midsize,9913,9387,28,NA,25065
83,Columbia College Chicago,"4-year, Private not-for-profit",City: Large,6947,6708,50,NA,32111
84,Columbia College of Nursing,"4-year, Private not-for-profit",Suburb: Large,122,122,NA,NA,NA
85,Columbus College of Art and Design,"4-year, Private not-for-profit",City: Large,1093,1048,65,NA,28470
86,Compass College of Cinematic Arts,"4-year, Private not-for-profit",City: Midsize,93,93,94,NA,20397
87,Concordia College at Moorhead,"4-year, Private not-for-profit",Suburb: Midsize,2042,2010,72,23,23970
88,Concordia University-Ann Arbor,"4-year, Private not-for-profit",City: Midsize,1172,961,39,NA,25779
89,Concordia University-Chicago,"4-year, Private not-for-profit",Suburb: Large,6205,1588,47,42,17051
90,Concordia University-Nebraska,"4-year, Private not-for-profit",Town: Distant,2703,2226,64,NA,21786
91,Concordia University-Saint Paul,"4-year, Private not-for-profit",City: Large,5137,3125,51,NA,18757
92,Concordia University-Wisconsin,"4-year, Private not-for-profit",Suburb: Large,5777,3309,64,NA,25175
93,Cornell College,"4-year, Private not-for-profit",Town: Fringe,1020,1020,69,24,28566
94,Cornerstone University,"4-year, Private not-for-profit",City: Midsize,1998,1504,60,NA,19923
95,Cottey College,"4-year, primarily associate's, Private not-for-profit",Town: Remote,256,256,58,NA,18578
96,Cox College,"4-year, Private not-for-profit",City: Midsize,956,728,0,100,24746
97,Creighton University,"4-year, Private not-for-profit",City: Large,8821,4472,81,7,32145
98,Dakota State University,"4-year, Public",Town: Distant,3268,2818,43,35,17063
99,Dakota Wesleyan University,"4-year, Private not-for-profit",Town: Remote,880,747,54,4,21891
100,Davenport University,"4-year, Private not-for-profit",Suburb: Large,6429,5078,49,NA,16061
101,Defiance College,"4-year, Private not-for-profit",Town: Distant,542,513,35,NA,26811
102,Denison University,"4-year, Private not-for-profit",Suburb: Small,2293,2293,82,15,36650
103,DePaul University,"4-year, Private not-for-profit",City: Large,22064,14214,74,16,32022
104,DePauw University,"4-year, Private not-for-profit",Town: Distant,1972,1972,84,NA,29557
105,Dickinson State University,"4-year, Public",Town: Remote,1350,1321,41,32,10817
106,Doane University,"4-year, Private not-for-profit",Town: Distant,2422,1351,54,5,26220
107,Dominican University,"4-year, Private not-for-profit",Suburb: Large,3029,2151,64,28,19280
108,Donnelly College,"4-year, primarily associate's, Private not-for-profit",City: Midsize,303,303,17,34,13605
109,Dordt University,"4-year, Private not-for-profit",Town: Remote,1547,1385,75,NA,26570
110,Drake University,"4-year, Private not-for-profit",City: Midsize,4884,2954,81,NA,30265
111,Drury University,"4-year, Private not-for-profit",City: Midsize,1743,1479,58,NA,19597
112,Drury University-College of Continuing Professional Studies,"4-year, Private not-for-profit",City: Midsize,1326,1326,12,NA,12720
113,Dunwoody College of Technology,"4-year, primarily associate's, Private not-for-profit",City: Large,1358,1358,50,NA,23576
114,Earlham College,"4-year, Private not-for-profit",Town: Distant,998,948,64,NA,23043
115,Eastern Illinois University,"4-year, Public",Town: Distant,7806,6229,53,36,14146
116,Eastern Michigan University,"4-year, Public",Suburb: Large,17784,14872,46,NA,16078
117,East-West University,"4-year, Private not-for-profit",City: Large,447,447,11,NA,22309
118,Edgewood College,"4-year, Private not-for-profit",City: Large,2038,1407,64,29,26959
119,Elmhurst College,"4-year, Private not-for-profit",Suburb: Large,3453,2891,70,NA,22791
120,Emmaus Bible College,"4-year, primarily associate's, Private not-for-profit",City: Small,215,215,67,NA,15966
121,Emporia State University,"4-year, Public",Town: Remote,5877,3405,50,14,14319
122,Eureka College,"4-year, Private not-for-profit",Town: Fringe,513,513,50,39,21178
123,Evangel University,"4-year, Private not-for-profit",City: Midsize,2300,1793,56,NA,22045
124,Faith Baptist Bible College and Theological Seminary,"4-year, Private not-for-profit",Suburb: Large,362,319,43,17,15151
125,Ferris State University,"4-year, Public",Town: Distant,12472,11184,47,26,13097
126,Finlandia University,"4-year, Private not-for-profit",Town: Remote,414,414,37,NA,20295
127,Fontbonne University,"4-year, Private not-for-profit",Suburb: Large,1199,868,54,NA,16953
128,Fort Hays State University,"4-year, Public",Town: Remote,15908,13128,43,29,12108
129,Franciscan University of Steubenville,"4-year, Private not-for-profit",City: Small,3039,2242,77,19,26356
130,Franklin College,"4-year, Private not-for-profit",Suburb: Large,956,922,65,25,22904
131,Franklin University,"4-year, Private not-for-profit",City: Large,6031,4261,28,44,12459
132,Friends University,"4-year, Private not-for-profit",City: Large,1818,1291,48,34,20641
133,Gods Bible School and College,"4-year, Private not-for-profit",City: Large,347,331,49,16,10867
134,Good Samaritan College of Nursing and Health Science,"4-year, primarily associate's, Private not-for-profit",City: Large,351,351,54,NA,23171
135,Goshen College,"4-year, Private not-for-profit",City: Small,907,826,65,NA,19772
136,Grace Christian University,"4-year, Private not-for-profit",Suburb: Large,1097,1060,44,19,12683
137,Grace College and Theological Seminary,"4-year, Private not-for-profit",Town: Distant,1957,1619,69,NA,21131
138,Grand Valley State University,"4-year, Public",Suburb: Large,24033,21112,67,16,16860
139,Grand View University,"4-year, Private not-for-profit",City: Midsize,1889,1800,55,32,19035
140,Great Lakes Christian College,"4-year, Private not-for-profit",Suburb: Large,171,171,22,NA,15277
141,Greenville University,"4-year, Private not-for-profit",Town: Distant,1092,913,56,NA,21268
142,Grinnell College,"4-year, Private not-for-profit",Town: Remote,1733,1733,89,NA,29404
143,Gustavus Adolphus College,"4-year, Private not-for-profit",Town: Fringe,2237,2237,78,NA,21707
144,Hamline University,"4-year, Private not-for-profit",City: Large,3404,2088,70,NA,22253
145,Hannibal-LaGrange University,"4-year, Private not-for-profit",Town: Remote,803,746,41,41,20687
146,Hanover College,"4-year, Private not-for-profit",Town: Distant,1070,1070,69,NA,22376
147,Harris-Stowe State University,"4-year, Public",City: Large,1630,1630,17,NA,10551
148,Haskell Indian Nations University,"4-year, primarily associate's, Public",City: Small,789,789,46,27,4477
149,Hastings College,"4-year, Private not-for-profit",Town: Distant,998,967,59,NA,21887
150,Hebrew Theological College,"4-year, Private not-for-profit",City: Small,193,193,4,52,18580
151,Heidelberg University,"4-year, Private not-for-profit",Town: Distant,1247,1076,51,23,21192
152,Henry Ford College,"4-year, primarily associate's, Public",City: Small,12146,12146,9,34,2891
153,Herzing University-Akron,"4-year, primarily associate's, Private not-for-profit",Suburb: Large,497,497,19,NA,22416
154,Herzing University-Brookfield,"4-year, Private not-for-profit",Suburb: Large,559,553,47,NA,22336
155,Herzing University-Kenosha,"4-year, Private not-for-profit",Suburb: Midsize,594,583,35,NA,20435
156,Herzing University-Madison,"4-year, Private not-for-profit",City: Large,2174,1506,28,NA,23908
157,Herzing University-Minneapolis,"4-year, Private not-for-profit",Suburb: Large,515,514,50,NA,19195
158,Hesston College,"4-year, primarily associate's, Private not-for-profit",Town: Distant,378,378,52,30,21558
159,Hillsdale College,"4-year, Private not-for-profit",Town: Distant,1526,1468,86,6,23230
160,Hiram College,"4-year, Private not-for-profit",Town: Fringe,1284,1267,54,NA,21976
161,Holy Cross College,"4-year, Private not-for-profit",Suburb: Large,447,447,51,39,23829
162,Holy Family College,"4-year, Private not-for-profit",Town: Distant,448,323,40,NA,22910
163,Hope College,"4-year, Private not-for-profit",City: Small,3056,3056,81,9,29248
164,Horizon University,"4-year, Private not-for-profit",Suburb: Large,43,43,33,NA,NA
165,Huntington University,"4-year, Private not-for-profit",Town: Distant,1384,1126,70,17,22333
166,Illinois College,"4-year, Private not-for-profit",Town: Distant,1057,1057,63,NA,17594
167,Illinois Institute of Technology,"4-year, Private not-for-profit",City: Large,6515,3144,70,NA,26708
168,Illinois State University,"4-year, Public",Suburb: Midsize,20878,18250,70,NA,20093
169,Illinois Wesleyan University,"4-year, Private not-for-profit",City: Small,1629,1629,77,NA,28912
170,Indiana Institute of Technology,"4-year, Private not-for-profit",City: Large,2223,1576,37,NA,18793
171,Indiana Institute of Technology-College of Professional Studies,"4-year, Private not-for-profit",City: Large,4157,4157,16,NA,16401
172,Indiana State University,"4-year, Public",City: Small,12144,10214,41,NA,12996
173,Indiana University-Bloomington,"4-year, Public",City: Small,43260,33084,79,12,13036
174,Indiana University-Kokomo,"4-year, Public",City: Small,3164,2969,38,24,8629
175,Indiana University-Northwest,"4-year, Public",City: Small,3877,3454,35,28,6179
176,Indiana University-Purdue University-Indianapolis,"4-year, Public",City: Large,29537,21173,50,23,9807
177,Indiana University-South Bend,"4-year, Public",City: Midsize,5092,4551,38,24,8962
178,Indiana University-Southeast,"4-year, Public",Suburb: Large,4882,4397,36,30,9648
179,Indiana Wesleyan University-Marion,"4-year, Private not-for-profit",Town: Distant,3165,2762,71,NA,21619
180,Iowa State University,"4-year, Public",City: Small,33372,28294,74,17,15195
181,Iowa Wesleyan University,"4-year, Private not-for-profit",Town: Remote,622,593,31,41,27540
182,John Carroll University,"4-year, Private not-for-profit",Suburb: Large,3506,3017,76,NA,27260
183,Judson University,"4-year, Private not-for-profit",City: Midsize,1233,1046,58,27,18641
184,Kalamazoo College,"4-year, Private not-for-profit",City: Small,1286,1286,86,NA,26480
185,Kansas Christian College,"4-year, primarily associate's, Private not-for-profit",City: Midsize,159,159,NA,NA,9756
186,Kansas City Art Institute,"4-year, Private not-for-profit",City: Large,699,699,61,21,30747
187,Kansas State University,"4-year, Public",City: Small,21719,17210,65,NA,18103
188,Kansas Wesleyan University,"4-year, Private not-for-profit",Town: Remote,716,653,42,46,21831
189,Kenrick Glennon Seminary,"4-year, Private not-for-profit",Suburb: Large,85,NA,88,13,NA
190,Kent State University at Ashtabula,"4-year, primarily associate's, Public",Town: Distant,2064,2064,28,4,8366
191,Kent State University at East Liverpool,"4-year, primarily associate's, Public",Town: Fringe,1159,1159,20,7,8042
192,Kent State University at Kent,"4-year, Public",Suburb: Large,27716,22262,62,4,18643
193,Kent State University at Stark,"4-year, primarily associate's, Public",Suburb: Large,4422,4414,30,5,7012
194,Kent State University at Trumbull,"4-year, primarily associate's, Public",Suburb: Large,2155,2155,16,5,7596
195,Kent State University at Tuscarawas,"4-year, primarily associate's, Public",Town: Distant,2089,2089,29,3,8407
196,Kenyon College,"4-year, Private not-for-profit",Town: Distant,1750,1750,91,NA,37940
197,Kettering College,"4-year, Private not-for-profit",City: Small,815,615,45,NA,18087
198,Kettering University,"4-year, Private not-for-profit",City: Small,2221,1799,63,NA,39255
199,Knox College,"4-year, Private not-for-profit",Town: Distant,1258,1258,74,20,23476
200,Kuyper College,"4-year, Private not-for-profit",Suburb: Large,143,137,51,NA,20296
201,Lake Erie College,"4-year, Private not-for-profit",Suburb: Large,1056,833,47,NA,20254
202,Lake Forest College,"4-year, Private not-for-profit",Suburb: Large,1562,1538,77,17,26148
203,Lake Superior State University,"4-year, Public",Town: Remote,1984,1984,51,29,12310
204,Lakeview College of Nursing,"4-year, Private not-for-profit",City: Small,148,148,NA,NA,NA
205,Lawrence Technological University,"4-year, Private not-for-profit",City: Small,2849,2137,60,23,32406
206,Lawrence University,"4-year, Private not-for-profit",City: Small,1442,1442,79,NA,26162
207,Lewis University,"4-year, Private not-for-profit",Suburb: Large,6359,4274,67,24,19520
208,Lincoln Christian University,"4-year, Private not-for-profit",Town: Distant,672,378,58,28,18728
209,Lincoln College,"4-year, Private not-for-profit",Town: Distant,1109,1101,34,35,21797
210,Lincoln University,"4-year, Public",City: Small,2436,2323,27,38,8711
211,Lindenwood University,"4-year, Private not-for-profit",City: Small,8392,5654,50,32,17891
212,Logan University,"4-year, Private not-for-profit",Suburb: Large,1664,256,NA,NA,15911
213,Lorain County Community College,"4-year, primarily associate's, Public",City: Small,10206,10206,19,19,3135
214,Loras College,"4-year, Private not-for-profit",City: Small,1416,1333,67,NA,21751
215,Lourdes University,"4-year, Private not-for-profit",Suburb: Large,1547,1115,36,NA,19293
216,Loyola University Chicago,"4-year, Private not-for-profit",City: Large,17159,12240,74,NA,36388
217,Luther College,"4-year, Private not-for-profit",Town: Remote,1951,1951,75,NA,23805
218,Macalester College,"4-year, Private not-for-profit",City: Large,2098,2098,91,NA,31458
219,MacMurray College,"4-year, Private not-for-profit",Town: Distant,588,588,47,NA,13977
220,Madonna University,"4-year, Private not-for-profit",City: Small,2992,2441,60,29,17444
221,Maharishi University of Management,"4-year, Private not-for-profit",Town: Remote,1861,457,67,NA,13341
222,Malone University,"4-year, Private not-for-profit",City: Small,1524,1147,54,NA,20193
223,Manchester University,"4-year, Private not-for-profit",Town: Distant,1415,1078,55,NA,17938
224,Manhattan Christian College,"4-year, Private not-for-profit",City: Small,171,171,59,7,22783
225,Maranatha Baptist University,"4-year, Private not-for-profit",Town: Fringe,985,793,55,15,19399
226,Marian University,"4-year, Private not-for-profit",City: Large,3519,2405,63,28,20572
227,Marian University,"4-year, Private not-for-profit",City: Small,1656,1327,56,13,20020
228,Marietta College,"4-year, Private not-for-profit",Town: Fringe,1217,1141,58,NA,21483
229,Marquette University,"4-year, Private not-for-profit",City: Large,11819,8515,82,NA,34120
230,Martin Luther College,"4-year, Private not-for-profit",Town: Distant,993,910,69,NA,20154
231,Martin University,"4-year, Private not-for-profit",City: Large,279,214,9,48,14998
232,Maryville University of Saint Louis,"4-year, Private not-for-profit",Suburb: Large,10013,4454,71,9,29357
233,McKendree University,"4-year, Private not-for-profit",Suburb: Large,2292,1788,60,NA,21764
234,McPherson College,"4-year, Private not-for-profit",Town: Remote,845,819,41,NA,24672
235,Mercy College of Health Sciences,"4-year, Private not-for-profit",City: Midsize,795,795,33,NA,20368
236,Mercy College of Ohio,"4-year, primarily associate's, Private not-for-profit",City: Large,1560,1500,53,40,19671
237,Methodist College,"4-year, Private not-for-profit",City: Midsize,700,676,29,50,32493
238,Metropolitan State University,"4-year, Public",City: Large,7592,6770,34,41,15056
239,Miami University-Hamilton,"4-year, Public",Suburb: Large,2540,2539,11,71,11877
240,Miami University-Middletown,"4-year, Public",Suburb: Small,1842,1842,18,68,10159
241,Miami University-Oxford,"4-year, Public",Town: Fringe,19716,17246,81,14,22989
242,Michigan State University,"4-year, Public",City: Small,49809,39176,81,11,16579
243,Michigan Technological University,"4-year, Public",Town: Remote,7027,5750,70,19,17814
